Galaxy,chi2_Quat,AIC_Quat,BIC_Quat,M_solar_Quat,rs_kpc_Quat,epsilon_Quat,chi2_LCDM,AIC_LCDM,BIC_LCDM,chi2_MOND,AIC_MOND,BIC_MOND,Best_Model
UGC05750_rotmod,163.4256817986314,169.4256817986314,170.6193676170265,8103144586.137554,18.963523352152592,5118.373704245759,215.9976241093556,223.9976241093556,225.5892052005491,2003.807547769553,2009.807547769553,2011.001233587948,Quaternionic
NGC1705_rotmod,13.185351577389378,19.185351577389376,21.102523566235153,21615320346.80491,16.992496716733733,5181.113598927803,25.22756783566164,33.227567835661645,35.783797154122674,776.1440932241071,782.1440932241071,784.0612652129529,Quaternionic
UGC02916_rotmod,2863.5151336982062,2869.5151336982062,2874.798734045287,99975719500.43044,6.679121392759593,4936.066935784895,182.3415440389758,190.3415440389758,197.38634450175005,3549.4104468366377,3555.4104468366377,3560.6940471837183,LCDM
NGC5033_rotmod,13681.293289017816,13687.293289017816,13690.566416377891,99995672588.72775,3.37591976621982,4282.082146545028,103.34399441696588,111.34399441696588,115.70816423039915,26150.933259186484,26156.933259186484,26160.20638654656,LCDM
UGC07577_rotmod,38.33992801803049,44.33992801803049,44.93160175003915,30760003.698039427,2.9641045315052437,0.04867878968786965,92.30937770897725,100.30937770897725,101.09827601832212,4275.277694779046,4281.277694779046,4281.869368511055,Quaternionic
NGC4217_rotmod,699.4439025926104,705.4439025926104,708.2772195301097,99709572591.35683,11.518106131095779,5058.544112893225,446.5715129915792,454.5715129915792,458.34926890824494,508.36530624996936,514.3653062499693,517.1986231874687,LCDM
IC2574_rotmod,19091.580815243135,19097.580815243135,19102.159896816982,3704246239.7028685,19.98328452339657,4987.4180128719,25385.726671855315,25393.726671855315,25399.83211395378,316883.6912206554,316889.6912206554,316894.27030222927,Quaternionic
UGC03205_rotmod,18373.43523265595,18379.43523265595,18385.048835688674,99995415823.34703,4.607245870249928,4860.446285785679,387.848909745564,395.848909745564,403.3337137891956,23117.170566635614,23123.170566635614,23128.78416966834,LCDM
NGC2903_rotmod,4699.005514228215,4705.005514228215,4709.584595802064,99987898532.45523,6.014330900541763,4756.235847740083,1096.0004311469484,1104.0004311469484,1110.105873245413,15825.26984880518,15831.26984880518,15835.848930379028,LCDM
UGC06787_rotmod,46789.5429860884,46795.5429860884,46802.331025719526,99998075577.41528,3.3876745227296534,4880.555695024879,2479.211543873203,2487.211543873203,2496.2622633813685,25855.86567397848,25861.86567397848,25868.6537136096,LCDM
NGC0055_rotmod,1252.1422995163468,1258.1422995163468,1261.275866829517,22756088085.53495,19.882088856095972,5035.511706136818,1157.1759077760735,1165.1759077760735,1169.353997526967,21847.891566840382,21853.891566840382,21857.02513415355,LCDM
NGC2366_rotmod,1520.9185611168955,1526.9185611168955,1530.69285073096,7519835064.905485,19.79946202855632,5222.856682109628,2359.899051378783,2367.899051378783,2372.931437530869,23319.279112796972,23325.279112796972,23329.05340241104,Quaternionic
UGC11820_rotmod,1587.4385623419323,1593.4385623419323,1594.3463176209145,31832045797.94638,19.952098652296115,4790.721708391926,1403.315361589046,1411.315361589046,1412.5257019610222,114380.84312045718,114386.84312045718,114387.75087573616,LCDM
UGC06667_rotmod,328.2018941661886,334.2018941661886,334.79356789819724,23797283047.632088,19.555114212398045,5239.3939248158,319.90436494146644,327.90436494146644,328.6932632508113,2767.6537521848973,2773.6537521848973,2774.245425916906,LCDM
